"Method","MSE","SE","MSE (SE)"
"MC NNM",40.201,2.726,"40.201 (2.726)"
"IPS",38.734,3.55,"38.734 (3.55)"
"Factor Model Estimator",220.999,4.454,"220.999 (4.454)"
"R1COMP",5.77,0.975,"5.77 (0.975)"
"ORACLE",0.042,0.022,"0.042 (0.022)"
