"Method","MSE","SE","MSE (SE)"
"MC-NNM",238.315,3.097,"238.315 (3.097)"
"Weighted softImpute",10.224,1.659,"10.224 (1.659)"
"FACTOR",21.291,2.862,"21.291 (2.862)"
"Weighted R1Comp",7.493,108.416,"7.493 (108.416)"
"Oracle",0.033,0.023,"0.033 (0.023)"
