"Method","mse","se_mse"
"MC NNM",239.928949349641,49.1342108299425
"IPS",17.9732860699944,2.15359309127806
"Factor Model Estimator",33.5518270449108,159.509084554774
"R1COMP",0.253907753825631,0.186090113480197
"ORACLE",0.0538279961927951,0.032579344226759
