"Method","MSE","SE","MSE (SE)"
"MC NNM",5.64,0.82,"5.64 (0.82)"
"IPS",5.339,0.876,"5.339 (0.876)"
"Factor Model Estimator",147.753,3.561,"147.753 (3.561)"
"R1COMP",0.591,0.262,"0.591 (0.262)"
"ORACLE",0.098,0.075,"0.098 (0.075)"
