"Method","MSE","SE","MSE (SE)"
"MC NNM",65.013,9.688,"65.013 (9.688)"
"IPS",66.302,9.064,"66.302 (9.064)"
"Factor Model Estimator",187.638,14.586,"187.638 (14.586)"
"R1COMP",24.852,5.013,"24.852 (5.013)"
"ORACLE",0.023,0.019,"0.023 (0.019)"
