"Method","MSE","SE","MSE (SE)"
"MC-NNM",2.746,0.455,"2.746 (0.455)"
"Weighted softImpute",3.275,1.557,"3.275 (1.557)"
"FACTOR",220.372,3.231,"220.372 (3.231)"
"Weighted R1Comp",0.277,0.143,"0.277 (0.143)"
"Oracle",0.056,0.042,"0.056 (0.042)"
