"Method","MSE","SE","MSE (SE)"
"MC NNM",44.762,2.507,"44.762 (2.507)"
"IPS",3.996,1.189,"3.996 (1.189)"
"Factor Model Estimator",0.571,0.341,"0.571 (0.341)"
"R1COMP",2.019,0.798,"2.019 (0.798)"
"ORACLE",0.132,0.15,"0.132 (0.15)"
