"Method","mse","se_mse"
"MC NNM",275.236630708638,9.27476119236299
"IPS",15.2976438685899,1.4176567996043
"Factor Model Estimator",8.64940436112065,5.25352422748251
"R1COMP",7.88610118536001,6.24046977280738
"ORACLE",0.179588188088746,0.115182010892867
