"Method","mse","se_mse"
"MC NNM",137.48493748318,4.3284358812941
"IPS",9.67961310319153,3.94290195056395
"Factor Model Estimator",9.7060407278731,1.51778046642628
"R1COMP",1.79530736051782,0.899601921582153
"ORACLE",0.149228788615782,0.0879296139558794
