"Method","MSE","SE"
"MC NNM",48.7546507675554,2.22488114026305
"IPS",5.98447673406698,1.11023440183788
"Factor Model Estimator",1.58668324792414,0.356447208558701
"R1COMP",1.36497649898675,0.559280363209195
"ORACLE",0.0803638945371478,0.0708242462141841
