"Method","MSE","SE","MSE (SE)"
"MC NNM",49.304,2.912,"49.304 (2.912)"
"IPS",7.154,1.384,"7.154 (1.384)"
"Factor Model Estimator",1.716,0.453,"1.716 (0.453)"
"R1COMP",1.346,0.447,"1.346 (0.447)"
"ORACLE",0.091,0.082,"0.091 (0.082)"
