"Method","MSE","SE","MSE (SE)"
"MC NNM",56.433,2.594,"56.433 (2.594)"
"IPS",8.933,1.583,"8.933 (1.583)"
"Factor Model Estimator",1.759,0.515,"1.759 (0.515)"
"R1COMP",0.482,0.308,"0.482 (0.308)"
"ORACLE",0.133,0.106,"0.133 (0.106)"
