"Method","MSE","SE","MSE (SE)"
"MC NNM",51.643,4.204,"51.643 (4.204)"
"IPS",9.122,2.277,"9.122 (2.277)"
"Factor Model Estimator",0.717,0.471,"0.717 (0.471)"
"R1COMP",0.868,0.75,"0.868 (0.75)"
"ORACLE",0.27,0.247,"0.27 (0.247)"
