"Method","MSE","SE","MSE (SE)"
"MC-NNM",625.792,17.21,"625.792 (17.21)"
"Weighted softImpute",17.632,4.416,"17.632 (4.416)"
"FACTOR",24.889,4.313,"24.889 (4.313)"
"Weighted R1Comp",4.888,3.12,"4.888 (3.12)"
"Oracle",0.387,0.296,"0.387 (0.296)"
