"Method","MSE","SE","MSE (SE)"
"MC-NNM",14.046,1.722,"14.046 (1.722)"
"Weighted softImpute",15.43,2.057,"15.43 (2.057)"
"FACTOR",1149.282,11.328,"1149.282 (11.328)"
"Weighted R1Comp",5.597,2.595,"5.597 (2.595)"
"Oracle",0.158,0.113,"0.158 (0.113)"
