"Method","MSE","SE","MSE (SE)"
"MC NNM",54.722,2.549,"54.722 (2.549)"
"IPS",7.496,1.361,"7.496 (1.361)"
"Factor Model Estimator",1.023,0.367,"1.023 (0.367)"
"R1COMP",0.76,0.573,"0.76 (0.573)"
"ORACLE",0.103,0.085,"0.103 (0.085)"
