"Method","MSE","SE","MSE (SE)"
"MC-NNM",435.775,5.174,"435.775 (5.174)"
"Weighted softImpute",384.808,608.126,"384.808 (608.126)"
"FACTOR",45.674,1.847,"45.674 (1.847)"
"Weighted R1Comp",3.779,2.807,"3.779 (2.807)"
"Oracle",0.036,0.03,"0.036 (0.03)"
