"Method","MSE","SE","MSE (SE)"
"MC-NNM",977.896,38.991,"977.896 (38.991)"
"Weighted softImpute",42.655,18.323,"42.655 (18.323)"
"FACTOR",797.295,38.94,"797.295 (38.94)"
"Weighted R1Comp",322.661,39.023,"322.661 (39.023)"
"Oracle",1.008,1.178,"1.008 (1.178)"
