"Method","MSE","SE","MSE (SE)"
"MC-NNM",268.752,3.51,"268.752 (3.51)"
"Weighted softImpute",8.264,1.581,"8.264 (1.581)"
"FACTOR",1.522,0.355,"1.522 (0.355)"
"Weighted R1Comp",0.224,0.137,"0.224 (0.137)"
"Oracle",0.035,0.024,"0.035 (0.024)"
