"Method","MSE","SE","MSE (SE)"
"MC-NNM",5.244,0.49,"5.244 (0.49)"
"Weighted softImpute",5.39,0.755,"5.39 (0.755)"
"FACTOR",315.48,3.209,"315.48 (3.209)"
"Weighted R1Comp",0.124,0.072,"0.124 (0.072)"
"Oracle",0.047,0.045,"0.047 (0.045)"
