"Method","mse","se_mse"
"MC NNM",48.1277631051175,2.3272505226739
"IPS",5.90048989511133,1.29300722274316
"Factor Model Estimator",1.54473956418952,0.396031626577917
"R1COMP",1.66445249853365,0.70795302246506
"ORACLE",0.0913989077393307,0.0785260156853522
