"Method","MSE","SE","MSE (SE)"
"MC NNM",45.222,3.55,"45.222 (3.55)"
"IPS",6.253,1.723,"6.253 (1.723)"
"Factor Model Estimator",0.953,0.405,"0.953 (0.405)"
"R1COMP",1.401,1.077,"1.401 (1.077)"
"ORACLE",0.192,0.178,"0.192 (0.178)"
