"Method","mse","se_mse"
"MC NNM",4.81690600616255,4.38813872112466
"IPS",69.740562215661,8.95630199101086
"Factor Model Estimator",91.2713492083175,7.84603077315973
"R1COMP",4.4422024011465,4.57196860460523
"ORACLE",3.92714752316334,4.41583557899773
