Code,Title,Season,Episode,Rating,smoothedRating,Episode Number,Number of Episodes,Prop Through Series,main_character_left
tt0042111,The George Burns and Gracie Allen Show,2.0,6.0,8.5,8.14269096736138,22.0,272,0.08088235294117647,0
tt0042111,The George Burns and Gracie Allen Show,2.0,16.0,8.4,8.303363331251862,27.0,272,0.09926470588235294,0
tt0042111,The George Burns and Gracie Allen Show,2.0,21.0,8.5,8.379556125035473,32.0,272,0.11764705882352941,0
tt0042111,The George Burns and Gracie Allen Show,3.0,5.0,8.8,8.483072581006905,38.0,272,0.13970588235294118,0
tt0042111,The George Burns and Gracie Allen Show,3.0,10.0,9.1,8.648198069816438,43.0,272,0.15808823529411764,0
tt0042111,The George Burns and Gracie Allen Show,3.0,15.0,8.8,8.789856332205341,48.0,272,0.17647058823529413,0
tt0042111,The George Burns and Gracie Allen Show,3.0,21.0,8.2,8.692981702515587,54.0,272,0.19852941176470587,0
tt0042111,The George Burns and Gracie Allen Show,3.0,26.0,8.8,8.529154586015567,59.0,272,0.21691176470588236,0
tt0042111,The George Burns and Gracie Allen Show,3.0,31.0,8.4,8.533779657338389,64.0,272,0.23529411764705882,0
tt0042111,The George Burns and Gracie Allen Show,3.0,37.0,8.4,8.687495129804367,70.0,272,0.25735294117647056,0
tt0042111,The George Burns and Gracie Allen Show,4.0,2.0,8.6,8.666473543324553,75.0,272,0.2757352941176471,0
tt0042111,The George Burns and Gracie Allen Show,4.0,7.0,8.1,8.57122181008506,80.0,272,0.29411764705882354,0
tt0042111,The George Burns and Gracie Allen Show,4.0,13.0,8.5,8.609663613115496,86.0,272,0.3161764705882353,0
tt0042111,The George Burns and Gracie Allen Show,4.0,18.0,9.2,8.712403510625084,91.0,272,0.33455882352941174,0
tt0042111,The George Burns and Gracie Allen Show,4.0,23.0,9.2,8.75068340192728,96.0,272,0.35294117647058826,0
tt0042111,The George Burns and Gracie Allen Show,4.0,28.0,8.7,8.72785293919637,101.0,272,0.3713235294117647,0
tt0042111,The George Burns and Gracie Allen Show,4.0,34.0,8.1,8.699357311305139,107.0,272,0.39338235294117646,0
tt0042111,The George Burns and Gracie Allen Show,4.0,39.0,8.5,8.757035007081612,112.0,272,0.4117647058823529,0
tt0042111,The George Burns and Gracie Allen Show,5.0,4.0,8.8,8.892488396827101,117.0,272,0.43014705882352944,0
tt0042111,The George Burns and Gracie Allen Show,5.0,10.0,8.6,8.841047162200658,123.0,272,0.4522058823529412,0
tt0042111,The George Burns and Gracie Allen Show,5.0,15.0,8.8,8.833644035204186,128.0,272,0.47058823529411764,0
tt0042111,The George Burns and Gracie Allen Show,5.0,20.0,8.6,8.872141608029775,133.0,272,0.4889705882352941,0
tt0042111,The George Burns and Gracie Allen Show,5.0,26.0,9.2,8.875004317273712,139.0,272,0.5110294117647058,0
tt0042111,The George Burns and Gracie Allen Show,5.0,31.0,8.8,8.852504668654634,144.0,272,0.5294117647058824,0
tt0042111,The George Burns and Gracie Allen Show,5.0,36.0,8.9,8.884946110484764,149.0,272,0.5477941176470589,0
tt0042111,The George Burns and Gracie Allen Show,6.0,2.0,8.6,8.99143070430019,155.0,272,0.5698529411764706,0
tt0042111,The George Burns and Gracie Allen Show,6.0,7.0,9.2,8.920370919398355,160.0,272,0.5882352941176471,0
tt0042111,The George Burns and Gracie Allen Show,6.0,12.0,8.8,8.876939724687597,165.0,272,0.6066176470588235,0
tt0042111,The George Burns and Gracie Allen Show,6.0,18.0,9.3,8.971359641880786,171.0,272,0.6286764705882353,0
tt0042111,The George Burns and Gracie Allen Show,6.0,23.0,8.6,8.990780884828387,176.0,272,0.6470588235294118,0
tt0042111,The George Burns and Gracie Allen Show,6.0,28.0,9.2,8.86835748332851,181.0,272,0.6654411764705882,0
tt0042111,The George Burns and Gracie Allen Show,6.0,33.0,8.7,8.83182660027882,186.0,272,0.6838235294117647,0
tt0042111,The George Burns and Gracie Allen Show,6.0,39.0,8.9,8.900124539697698,192.0,272,0.7058823529411765,0
tt0042111,The George Burns and Gracie Allen Show,7.0,7.0,8.8,8.956720416800373,197.0,272,0.7242647058823529,0
tt0042111,The George Burns and Gracie Allen Show,7.0,12.0,9.2,8.965295350654781,202.0,272,0.7426470588235294,0
tt0042111,The George Burns and Gracie Allen Show,7.0,18.0,8.5,8.946700525818587,208.0,272,0.7647058823529411,0
tt0042111,The George Burns and Gracie Allen Show,7.0,23.0,8.8,8.87420563849439,213.0,272,0.7830882352941176,0
tt0042111,The George Burns and Gracie Allen Show,7.0,28.0,8.8,8.813862116084882,218.0,272,0.8014705882352942,0
tt0042111,The George Burns and Gracie Allen Show,7.0,34.0,9.2,8.666782377403788,224.0,272,0.8235294117647058,0
tt0042111,The George Burns and Gracie Allen Show,7.0,39.0,8.7,8.625026863798684,229.0,272,0.8419117647058824,0
tt0042111,The George Burns and Gracie Allen Show,8.0,1.0,8.6,8.60360579103363,234.0,272,0.8602941176470589,0
tt0042111,The George Burns and Gracie Allen Show,8.0,7.0,8.6,8.662561594310832,240.0,272,0.8823529411764706,0
tt0042111,The George Burns and Gracie Allen Show,8.0,12.0,9.5,8.832807344448389,245.0,272,0.9007352941176471,0
tt0042111,The George Burns and Gracie Allen Show,8.0,17.0,8.9,8.90512246720335,250.0,272,0.9191176470588235,0
tt0042111,The George Burns and Gracie Allen Show,8.0,23.0,8.5,8.806415705528332,256.0,272,0.9411764705882353,0
tt0042111,The George Burns and Gracie Allen Show,8.0,28.0,8.1,8.77613981573096,261.0,272,0.9595588235294118,0
tt0042111,The George Burns and Gracie Allen Show,8.0,33.0,8.9,8.833705244962907,266.0,272,0.9779411764705882,0
tt0042116,The Jack Benny Program,3.0,1.0,7.1,7.260351019353157,5.0,224,0.022321428571428572,0
tt0042116,The Jack Benny Program,3.0,8.0,7.8,7.490100792928405,9.0,224,0.04017857142857143,0
tt0042116,The Jack Benny Program,4.0,5.0,8.0,7.727398018894093,14.0,224,0.0625,0
tt0042116,The Jack Benny Program,4.0,10.0,8.0,7.877304722150095,18.0,224,0.08035714285714286,0
tt0042116,The Jack Benny Program,5.0,2.0,8.2,7.9421719361087835,22.0,224,0.09821428571428571,0
tt0042116,The Jack Benny Program,5.0,8.0,7.6,7.824504851071295,27.0,224,0.12053571428571429,0
tt0042116,The Jack Benny Program,5.0,12.0,8.2,7.7267625074661535,31.0,224,0.13839285714285715,0
tt0042116,The Jack Benny Program,5.0,16.0,7.9,7.658392061088242,35.0,224,0.15625,0
tt0042116,The Jack Benny Program,6.0,5.0,8.1,7.560293552694411,40.0,224,0.17857142857142858,0
tt0042116,The Jack Benny Program,6.0,9.0,7.5,7.564612647429122,44.0,224,0.19642857142857142,0
tt0042116,The Jack Benny Program,6.0,16.0,8.3,7.590553075935825,49.0,224,0.21875,0
tt0042116,The Jack Benny Program,7.0,5.0,8.0,7.436161543507738,53.0,224,0.23660714285714285,0
tt0042116,The Jack Benny Program,7.0,10.0,7.2,7.479066915493316,57.0,224,0.2544642857142857,0
tt0042116,The Jack Benny Program,7.0,15.0,7.9,7.589629026917261,62.0,224,0.2767857142857143,0
tt0042116,The Jack Benny Program,8.0,4.0,8.1,7.48955154932902,66.0,224,0.29464285714285715,0
tt0042116,The Jack Benny Program,8.0,8.0,7.3,7.451544826413275,70.0,224,0.3125,0
