"Method","MSE","SE","MSE (SE)"
"MC-NNM",592.342,5.747,"592.342 (5.747)"
"Weighted softImpute",169.135,213.598,"169.135 (213.598)"
"FACTOR",349.926,6.633,"349.926 (6.633)"
"Weighted R1Comp",76.04,25.142,"76.04 (25.142)"
"Oracle",0.066,0.04,"0.066 (0.04)"
