"Method","mse","se_mse"
"MC NNM",253.417983961095,40.9145231850508
"IPS",28.3730898128083,6.95374160294807
"Factor Model Estimator",20.7252061476518,10.5336589758815
"R1COMP",11.6635980522205,8.27174366024989
"ORACLE",6.40009918855218,4.24231508516946
