"Method","MSE","SE","MSE (SE)"
"MC-NNM",3.788,0.456,"3.788 (0.456)"
"Weighted softImpute",4.448,2.251,"4.448 (2.251)"
"FACTOR",219.572,2.649,"219.572 (2.649)"
"Weighted R1Comp",1.338,0.248,"1.338 (0.248)"
"Oracle",0.032,0.022,"0.032 (0.022)"
