"Method","MSE","SE","MSE (SE)"
"MC NNM",34.436,1.979,"34.436 (1.979)"
"IPS",1.396,0.617,"1.396 (0.617)"
"Factor Model Estimator",0.65,0.343,"0.65 (0.343)"
"R1COMP",4.012,1.287,"4.012 (1.287)"
"ORACLE",0.108,0.085,"0.108 (0.085)"
