"Method","mse","se_mse"
"MC NNM",16.8825559932519,13.3465406728752
"IPS",84.321047999906,11.1642615463687
"Factor Model Estimator",41.9305216651252,49.0693881143889
"R1COMP",0.911874561920477,0.737654261784491
"ORACLE",0.538496374575558,0.519052569167439
