county_number,county,order_year,order_month,order_amount,order_revenue,number_of_orders
2,adams,2014,4,556.08,7059.51,130
2,adams,2014,5,464.73,6279.41,116
2,adams,2014,6,666.97,8227.19,162
2,adams,2014,7,439.69,5925.99,140
2,adams,2014,8,486.04,6784.68,134
2,adams,2014,9,672.97,9853.27,189
2,adams,2014,10,525.92,7153.57,131
2,adams,2014,11,560.35,7749.54,144
2,adams,2014,12,888.58,13200.33,240
2,adams,2015,1,391.58,4962.48,106
2,adams,2015,2,467.73,6759.18,115
2,adams,2015,3,680.41,8613.37,137
2,adams,2015,4,510.11,6362.79,117
2,adams,2015,5,649.57,9341.59,164
2,adams,2015,6,703.11,8379.78,190
2,adams,2015,7,607.79,7738.78,151
2,adams,2015,8,567.11,7324.59,125
2,adams,2015,9,786.23,9894.46,167
2,adams,2015,10,545.91,7234.66,117
2,adams,2015,11,589.72,8007.04,138
2,adams,2015,12,1048.35,15978.08,270
2,adams,2016,1,496.69,6362.56,125
2,adams,2016,2,494.37,6518.86,147
2,adams,2016,3,652.81,8953.07,171
2,adams,2016,4,490.03,6885.76,126
2,adams,2016,5,564.61,7444.9,169
2,adams,2016,6,428.75,5713.34,121
2,adams,2016,7,610.08,7411.61,155
2,adams,2016,8,485.17,6540.9,148
2,adams,2016,9,525.86,7255.5,178
2,adams,2016,10,536.52,7696.34,137
2,adams,2016,11,587.74,7643.23,127
2,adams,2016,12,582.95,9163.42,205
2,adams,2017,1,419.97,5977.9,122
2,adams,2017,2,558.77,7863.41,160
2,adams,2017,3,567.4,8031.25,180
2,adams,2017,4,371.19,5723.94,117
2,adams,2017,5,385.91,4926.86,120
2,adams,2017,6,548.84,7740.35,178
2,adams,2017,7,385.73,4884.43,119
2,adams,2017,8,265,3506.82,45
2,adams,2017,9,543.94,7320.34,177
2,adams,2017,10,655.72,9923.81,204
2,adams,2017,11,642.14,11658.97,132
2,adams,2017,12,622.85,9574.29,248
2,adams,2018,1,274.81,3420.57,86
2,adams,2018,2,247.93,3317.33,79
2,adams,2018,3,420.96,6241.12,104
2,adams,2018,4,307.32,4279.88,107
