Episode Number,Season,Episode,Rating,Code,Number of Episodes,Prop Through Series,Title,main_character_left
45,1,45,7.0,tt0088509,153,0.29411764705882354,Dragon Ball,0
48,1,48,7.3,tt0088509,153,0.3137254901960784,Dragon Ball,0
51,1,51,7.6,tt0088509,153,0.3333333333333333,Dragon Ball,0
54,1,54,7.7,tt0088509,153,0.35294117647058826,Dragon Ball,0
57,1,57,7.7,tt0088509,153,0.37254901960784315,Dragon Ball,0
60,1,60,7.9,tt0088509,153,0.39215686274509803,Dragon Ball,0
63,1,63,7.7,tt0088509,153,0.4117647058823529,Dragon Ball,0
66,1,66,7.5,tt0088509,153,0.43137254901960786,Dragon Ball,0
69,1,69,7.3,tt0088509,153,0.45098039215686275,Dragon Ball,0
72,1,72,7.4,tt0088509,153,0.47058823529411764,Dragon Ball,0
75,1,75,7.7,tt0088509,153,0.49019607843137253,Dragon Ball,0
78,1,78,7.5,tt0088509,153,0.5098039215686274,Dragon Ball,0
81,1,81,8.0,tt0088509,153,0.5294117647058824,Dragon Ball,0
84,1,84,7.3,tt0088509,153,0.5490196078431373,Dragon Ball,0
87,1,87,7.5,tt0088509,153,0.5686274509803921,Dragon Ball,0
90,1,90,7.2,tt0088509,153,0.5882352941176471,Dragon Ball,0
93,1,93,7.5,tt0088509,153,0.6078431372549019,Dragon Ball,0
96,1,96,7.4,tt0088509,153,0.6274509803921569,Dragon Ball,0
99,1,99,7.7,tt0088509,153,0.6470588235294118,Dragon Ball,0
102,1,102,7.7,tt0088509,153,0.6666666666666666,Dragon Ball,0
105,1,105,7.0,tt0088509,153,0.6862745098039216,Dragon Ball,0
108,1,108,7.3,tt0088509,153,0.7058823529411765,Dragon Ball,0
111,1,111,7.6,tt0088509,153,0.7254901960784313,Dragon Ball,0
114,1,114,7.3,tt0088509,153,0.7450980392156863,Dragon Ball,0
117,1,117,7.3,tt0088509,153,0.7647058823529411,Dragon Ball,0
120,1,120,8.1,tt0088509,153,0.7843137254901961,Dragon Ball,0
123,1,123,7.2,tt0088509,153,0.803921568627451,Dragon Ball,0
126,1,126,7.2,tt0088509,153,0.8235294117647058,Dragon Ball,0
129,1,129,7.1,tt0088509,153,0.8431372549019608,Dragon Ball,0
132,1,132,6.8,tt0088509,153,0.8627450980392157,Dragon Ball,0
135,1,135,7.0,tt0088509,153,0.8823529411764706,Dragon Ball,0
138,1,138,7.1,tt0088509,153,0.9019607843137255,Dragon Ball,0
141,1,141,7.3,tt0088509,153,0.9215686274509803,Dragon Ball,0
144,1,144,6.7,tt0088509,153,0.9411764705882353,Dragon Ball,0
147,1,147,6.8,tt0088509,153,0.9607843137254902,Dragon Ball,0
150,1,150,6.6,tt0088509,153,0.9803921568627451,Dragon Ball,0
4,1,4,6.4,tt0092455,176,0.022727272727272728,Star Trek: The Next Generation,0
7,1,7,6.1,tt0092455,176,0.03977272727272727,Star Trek: The Next Generation,0
11,1,11,7.4,tt0092455,176,0.0625,Star Trek: The Next Generation,0
14,1,14,7.5,tt0092455,176,0.07954545454545454,Star Trek: The Next Generation,0
18,1,18,7.2,tt0092455,176,0.10227272727272728,Star Trek: The Next Generation,0
21,1,21,7.0,tt0092455,176,0.11931818181818182,Star Trek: The Next Generation,0
25,1,25,7.5,tt0092455,176,0.14204545454545456,Star Trek: The Next Generation,0
28,2,3,8.2,tt0092455,176,0.1590909090909091,Star Trek: The Next Generation,0
31,2,6,7.0,tt0092455,176,0.17613636363636365,Star Trek: The Next Generation,0
35,2,10,6.2,tt0092455,176,0.19886363636363635,Star Trek: The Next Generation,0
38,2,13,7.6,tt0092455,176,0.2159090909090909,Star Trek: The Next Generation,0
42,2,17,6.6,tt0092455,176,0.23863636363636365,Star Trek: The Next Generation,0
45,2,20,7.6,tt0092455,176,0.2556818181818182,Star Trek: The Next Generation,0
49,3,2,7.5,tt0092455,176,0.2784090909090909,Star Trek: The Next Generation,0
52,3,5,6.7,tt0092455,176,0.29545454545454547,Star Trek: The Next Generation,0
55,3,8,6.4,tt0092455,176,0.3125,Star Trek: The Next Generation,0
59,3,12,6.9,tt0092455,176,0.3352272727272727,Star Trek: The Next Generation,0
62,3,15,9.2,tt0092455,176,0.3522727272727273,Star Trek: The Next Generation,0
66,3,19,7.3,tt0092455,176,0.375,Star Trek: The Next Generation,0
69,3,22,7.7,tt0092455,176,0.39204545454545453,Star Trek: The Next Generation,0
73,3,26,9.3,tt0092455,176,0.4147727272727273,Star Trek: The Next Generation,0
76,4,3,7.9,tt0092455,176,0.4318181818181818,Star Trek: The Next Generation,0
79,4,6,6.8,tt0092455,176,0.44886363636363635,Star Trek: The Next Generation,0
83,4,10,6.0,tt0092455,176,0.4715909090909091,Star Trek: The Next Generation,0
86,4,13,7.4,tt0092455,176,0.48863636363636365,Star Trek: The Next Generation,0
90,4,17,7.2,tt0092455,176,0.5113636363636364,Star Trek: The Next Generation,0
93,4,20,7.3,tt0092455,176,0.5284090909090909,Star Trek: The Next Generation,0
97,4,24,7.8,tt0092455,176,0.5511363636363636,Star Trek: The Next Generation,0
100,5,1,8.4,tt0092455,176,0.5681818181818182,Star Trek: The Next Generation,0
103,5,4,7.3,tt0092455,176,0.5852272727272727,Star Trek: The Next Generation,0
107,5,8,8.4,tt0092455,176,0.6079545454545454,Star Trek: The Next Generation,0
110,5,11,6.7,tt0092455,176,0.625,Star Trek: The Next Generation,0
114,5,15,7.5,tt0092455,176,0.6477272727272727,Star Trek: The Next Generation,0
117,5,18,9.0,tt0092455,176,0.6647727272727273,Star Trek: The Next Generation,0
121,5,22,6.1,tt0092455,176,0.6875,Star Trek: The Next Generation,0
124,5,25,9.4,tt0092455,176,0.7045454545454546,Star Trek: The Next Generation,0
127,6,2,7.3,tt0092455,176,0.7215909090909091,Star Trek: The Next Generation,0
