Code,Title,Season,Episode,Rating,Episode Number,Number of Episodes,Prop Through Series,main_character_left
tt0042111,The George Burns and Gracie Allen Show,3.0,31.0,8.4,64.0,272,0.23529411764705882,0
tt0042111,The George Burns and Gracie Allen Show,3.0,37.0,8.4,70.0,272,0.25735294117647056,0
tt0042111,The George Burns and Gracie Allen Show,4.0,2.0,8.6,75.0,272,0.2757352941176471,0
tt0042111,The George Burns and Gracie Allen Show,4.0,7.0,8.1,80.0,272,0.29411764705882354,0
tt0042111,The George Burns and Gracie Allen Show,4.0,13.0,8.5,86.0,272,0.3161764705882353,0
tt0042111,The George Burns and Gracie Allen Show,4.0,18.0,9.2,91.0,272,0.33455882352941174,0
tt0042111,The George Burns and Gracie Allen Show,4.0,23.0,9.2,96.0,272,0.35294117647058826,0
tt0042111,The George Burns and Gracie Allen Show,4.0,28.0,8.7,101.0,272,0.3713235294117647,0
tt0042111,The George Burns and Gracie Allen Show,4.0,34.0,8.1,107.0,272,0.39338235294117646,0
tt0042111,The George Burns and Gracie Allen Show,4.0,39.0,8.5,112.0,272,0.4117647058823529,0
tt0042111,The George Burns and Gracie Allen Show,5.0,4.0,8.8,117.0,272,0.43014705882352944,0
tt0042111,The George Burns and Gracie Allen Show,5.0,10.0,8.6,123.0,272,0.4522058823529412,0
tt0042111,The George Burns and Gracie Allen Show,5.0,15.0,8.8,128.0,272,0.47058823529411764,0
tt0042111,The George Burns and Gracie Allen Show,5.0,20.0,8.6,133.0,272,0.4889705882352941,0
tt0042111,The George Burns and Gracie Allen Show,5.0,26.0,9.2,139.0,272,0.5110294117647058,0
tt0042111,The George Burns and Gracie Allen Show,5.0,31.0,8.8,144.0,272,0.5294117647058824,0
tt0042111,The George Burns and Gracie Allen Show,5.0,36.0,8.9,149.0,272,0.5477941176470589,0
tt0042111,The George Burns and Gracie Allen Show,6.0,2.0,8.6,155.0,272,0.5698529411764706,0
tt0042111,The George Burns and Gracie Allen Show,6.0,7.0,9.2,160.0,272,0.5882352941176471,0
tt0042111,The George Burns and Gracie Allen Show,6.0,12.0,8.8,165.0,272,0.6066176470588235,0
tt0042111,The George Burns and Gracie Allen Show,6.0,18.0,9.3,171.0,272,0.6286764705882353,0
tt0042111,The George Burns and Gracie Allen Show,6.0,23.0,8.6,176.0,272,0.6470588235294118,0
tt0042111,The George Burns and Gracie Allen Show,6.0,28.0,9.2,181.0,272,0.6654411764705882,0
tt0042111,The George Burns and Gracie Allen Show,6.0,33.0,8.7,186.0,272,0.6838235294117647,0
tt0042111,The George Burns and Gracie Allen Show,6.0,39.0,8.9,192.0,272,0.7058823529411765,0
tt0042111,The George Burns and Gracie Allen Show,7.0,7.0,8.8,197.0,272,0.7242647058823529,0
tt0042111,The George Burns and Gracie Allen Show,7.0,12.0,9.2,202.0,272,0.7426470588235294,0
tt0042111,The George Burns and Gracie Allen Show,7.0,18.0,8.5,208.0,272,0.7647058823529411,0
tt0042111,The George Burns and Gracie Allen Show,7.0,23.0,8.8,213.0,272,0.7830882352941176,0
tt0042111,The George Burns and Gracie Allen Show,7.0,28.0,8.8,218.0,272,0.8014705882352942,0
tt0042111,The George Burns and Gracie Allen Show,7.0,34.0,9.2,224.0,272,0.8235294117647058,0
tt0042111,The George Burns and Gracie Allen Show,7.0,39.0,8.7,229.0,272,0.8419117647058824,0
tt0042111,The George Burns and Gracie Allen Show,8.0,1.0,8.6,234.0,272,0.8602941176470589,0
tt0042111,The George Burns and Gracie Allen Show,8.0,7.0,8.6,240.0,272,0.8823529411764706,0
tt0042111,The George Burns and Gracie Allen Show,8.0,12.0,9.5,245.0,272,0.9007352941176471,0
tt0042111,The George Burns and Gracie Allen Show,8.0,17.0,8.9,250.0,272,0.9191176470588235,0
tt0042111,The George Burns and Gracie Allen Show,8.0,23.0,8.5,256.0,272,0.9411764705882353,0
tt0042111,The George Burns and Gracie Allen Show,8.0,28.0,8.1,261.0,272,0.9595588235294118,0
tt0042111,The George Burns and Gracie Allen Show,8.0,33.0,8.9,266.0,272,0.9779411764705882,0
tt0042116,The Jack Benny Program,3.0,1.0,7.1,5.0,224,0.022321428571428572,0
tt0042116,The Jack Benny Program,3.0,8.0,7.8,9.0,224,0.04017857142857143,0
tt0042116,The Jack Benny Program,4.0,5.0,8.0,14.0,224,0.0625,0
tt0042116,The Jack Benny Program,4.0,10.0,8.0,18.0,224,0.08035714285714286,0
tt0042116,The Jack Benny Program,5.0,2.0,8.2,22.0,224,0.09821428571428571,0
tt0042116,The Jack Benny Program,5.0,8.0,7.6,27.0,224,0.12053571428571429,0
tt0042116,The Jack Benny Program,5.0,12.0,8.2,31.0,224,0.13839285714285715,0
tt0042116,The Jack Benny Program,5.0,16.0,7.9,35.0,224,0.15625,0
tt0042116,The Jack Benny Program,6.0,5.0,8.1,40.0,224,0.17857142857142858,0
tt0042116,The Jack Benny Program,6.0,9.0,7.5,44.0,224,0.19642857142857142,0
tt0042116,The Jack Benny Program,6.0,16.0,8.3,49.0,224,0.21875,0
tt0042116,The Jack Benny Program,7.0,5.0,8.0,53.0,224,0.23660714285714285,0
tt0042116,The Jack Benny Program,7.0,10.0,7.2,57.0,224,0.2544642857142857,0
tt0042116,The Jack Benny Program,7.0,15.0,7.9,62.0,224,0.2767857142857143,0
tt0042116,The Jack Benny Program,8.0,4.0,8.1,66.0,224,0.29464285714285715,0
tt0042116,The Jack Benny Program,8.0,8.0,7.3,70.0,224,0.3125,0
tt0042116,The Jack Benny Program,8.0,13.0,6.6,75.0,224,0.33482142857142855,0
tt0042116,The Jack Benny Program,9.0,1.0,7.6,79.0,224,0.35267857142857145,0
tt0042116,The Jack Benny Program,9.0,6.0,8.2,84.0,224,0.375,0
tt0042116,The Jack Benny Program,9.0,10.0,7.7,88.0,224,0.39285714285714285,0
tt0042116,The Jack Benny Program,9.0,15.0,7.5,92.0,224,0.4107142857142857,0
tt0042116,The Jack Benny Program,10.0,5.0,7.9,97.0,224,0.4330357142857143,0
