"Method","MSE","SE","MSE (SE)"
"MC NNM",53.609,3.191,"53.609 (3.191)"
"IPS",7.368,1.698,"7.368 (1.698)"
"Factor Model Estimator",1.966,0.628,"1.966 (0.628)"
"R1COMP",0.722,0.44,"0.722 (0.44)"
"ORACLE",0.095,0.087,"0.095 (0.087)"
