"Method","MSE","SE","MSE (SE)"
"MC-NNM",6.238,0.63,"6.238 (0.63)"
"Weighted softImpute",6.448,0.764,"6.448 (0.764)"
"FACTOR",327.184,3.35,"327.184 (3.35)"
"Weighted R1Comp",0.142,0.103,"0.142 (0.103)"
"Oracle",0.033,0.023,"0.033 (0.023)"
